,question,answer,question_type,image
769,Which polygon has opposite sides and angles equal?,Parallelogram,GK Questions For Class 6,
770,Which number is neither prime nor composite?,1,GK Questions For Class 6,
771,A polygon with all four sides and angles equal is called___?,Square,GK Questions For Class 6,
772,How many seconds are there in a day?,86400,GK Questions For Class 6,
773,How many sides does the base of a pyramid have?,4,GK Questions For Class 6,
774,Fourth Buddhist council held during the reign of which emperor?,Kanishka,GK Questions For Class 6,
775,In which year did Mahatma Gandhi start Dandi March?,1930,GK Questions For Class 6,
776,Who is the founder of Chola Dynasty?,Vijayalaya,GK Questions For Class 6,
777,Which was the first animal to go to space?,Dog,GK Questions For Class 6,
778,Zawar mines are located in which Indian state?,Rajasthan,GK Questions For Class 6,
779,Which country is the first in Asia to launch a plastics pact?,India,GK Questions For Class 6,
780,What is the capital of Finland?,Helsinki,GK Questions For Class 6,
781,Ozone layer is in which layer of the atmosphere?,Stratosphere,GK Questions For Class 6,
782,What is the capital of Morocco?,Mozambique,GK Questions For Class 6,
783,Which is the longest river in the world?,Nile,GK Questions For Class 6,
784,Mount Aconcagua is located in which mountain ranges?,Andes,GK Questions For Class 6,
785,Which Indian state was the first to introduce the “Oak Tussar Industry”?,Manipur,GK Questions For Class 6,
786,National Research Centre on Yak (NRCY) is located in which Indian state?,"Arunachal Pradesh
",GK Questions For Class 6,
787,Which is the largest river on Earth?,"Amazon river
",GK Questions For Class 6,
788,Which is the most spoken language in the world?,Mandarin Chinese,GK Questions For Class 6,
789,Which is the highest mountain peak of India?,Kanchenjunga,GK Questions For Class 6,
790,Who was the first president of the USA?,George Washington,GK Questions For Class 6,
791,How many fundamental rights are mentioned in the Indian Constitution?,6,GK Questions For Class 6,
792,Who is popularly known as the Napolean of India?,Samudragupta,GK Questions For Class 6,
793,Who was known as Punjab Kesari?,Lala Lajpat Rai,GK Questions For Class 6,
794,When is World Health Day observed?,April 7,GK Questions For Class 6,
795,What was the theme of World Health Day 2022?,"Our Planet, Our Health",GK Questions For Class 6,
796,October,"Our Planet, Our Health",GK Questions For Class 6,
797,Which planet is known as the Morning/Evening star?,Venus,GK Questions For Class 6,
798,Which continent invests the most in solar power?,Asia,GK Questions For Class 6,
799,Who won the 2022 International Women of Courage Award?,Rizwana Hassan,GK Questions For Class 6,
800,What is the theme for World Wildlife Day 2022?,Recovering key species for ecosystem restoration,GK Questions For Class 6,
801,What is the name of ISRO’s new humanoid robot that will go to space next?,Vyommitra,GK Questions For Class 6,
802,Which country is known as the Pearl of the Orient Seas?,"Philippines
",GK Questions For Class 6,
803,Who is known as the father of Indian nuclear program?,Homi J Bhabha,GK Questions For Class 6,
804,Who invented radio?,Guglielmo Marconi,GK Questions For Class 6,
805,Which is the longest river in Europe?,Volga River,GK Questions For Class 6,
806,Which was the first metal used by Harappan civilization?,Copper,GK Questions For Class 6,
807,Thomas Cup is related to which sport?,"Badminton
",GK Questions For Class 6,
808,How many players are there in an ice hockey team?,Six,GK Questions For Class 6,
809,Ryder Cup is related to which sport?,Golf,GK Questions For Class 6,
810,Which country invented paper?,China,GK Questions For Class 6,
811,Who has been reappointed as the President of the World Health Organization (WHO)?,Tedros Ghebreyesus,GK Questions For Class 6,
812,Which day is observed as International Literacy Day?,September 8,GK Questions For Class 6,
813,Who was known as the Missile Man of India?,Dr. APJ Abdul Kalam,GK Questions For Class 6,
814,Name the marine animal known as “sea cow”?,Manatees,GK Questions For Class 6,
815,Which is the protein found in nails?,Keratin,GK Questions For Class 6,
816,Which instrument is used to measure blood pressure?,Sphygmomanometer,GK Questions For Class 6,
817,Which mineral is found in teeth?,"Calcium
",GK Questions For Class 6,
818,Which acid is secreted in the stomach?,Hydrochloric acid,GK Questions For Class 6,
819,Who is known as the “father of vaccination”?,Edward Jenner,GK Questions For Class 6,
820,Which is the slowest moving animal on Earth?,The three-toed sloth,GK Questions For Class 6,
821,Which only metal in liquid form at room temperature?,Mercury,GK Questions For Class 6,
822,Which is known as the Father of modern medicine?,Hippocrates,GK Questions For Class 6,
823,Which scientist developed the Theory of Relativity?,Albert Einstein,GK Questions For Class 6,
824,The air we breathe is majorly composed of which gas?,Nitrogen,GK Questions For Class 6,
825,What is the chemical name of Vitamin C?,Ascorbic acid,GK Questions For Class 6,
826,Plaster of Paris is made of ____?,Gypsum,GK Questions For Class 6,
827,Hematite is the ore of which metal?,Iron,GK Questions For Class 6,
828,Who discovered Penicillin?,Alexander Fleming,GK Questions For Class 6,
829,Which planet has the biggest known volcano in our solar system?,Mars,GK Questions For Class 6,
830,Who invented telephone?,Alexander Graham Bell,GK Questions For Class 6,
831,World Homoeopathy Day is observed on ______,April 10,GK Questions For Class 7,
832,What is the square of 42?,1764,GK Questions For Class 7,
833,Baku is the capital of which country?,Azerbaijan,GK Questions For Class 7,
834,Name the currency used in Japan?,Yen,GK Questions For Class 7,
835,"Which lake is situated in the border of countries, Peru and Bolivia?",Lake Titicaca,GK Questions For Class 7,
836,The distance travelled by light in one year is called _______,Light Year,GK Questions For Class 7,
837,When is World Hearing Day?,March 23,GK Questions For Class 7,
838,What is the theme of World Hearing Day 2022?,"To hear for life, listen with care!",GK Questions For Class 7,
839,________________ is known as “antisterility vitamin”?,Vitamin E,GK Questions For Class 7,
840,Name a non-metal that conducts electricity?,Graphite,GK Questions For Class 7,
841,Birth anniversary of Sardar Vallabhbhai Patel is observed as?,National Unity Day (Rashtriya Ekta Divas),GK Questions For Class 7,
842,Who discovered X-Rays?,Wilhelm Conrad Roentgen,GK Questions For Class 7,
843,Name the main gases present in the Sun?,Hydrogen and Helium,GK Questions For Class 7,
844,Name the capital of Kingdom of Bahrain?,Manama,GK Questions For Class 7,
845,What is the theme of World Meteorological Day 2022?,Early Warning and Early Action,GK Questions For Class 7,
846,What is the capital of Norway?,Oslo,GK Questions For Class 7,
847,Name the compound necessary for photosynthesis in leaves?,Chlorophyll,GK Questions For Class 7,
848,What are the tiny pores present in plant leaves called?,Stomata,GK Questions For Class 7,
849,Who invented electricity?,Benjamin Franklin,GK Questions For Class 7,
850,Name the continent known as “Dark Continent”?,Africa,GK Questions For Class 7,
851,______ is the hardest substance available on Earth.,Diamond,GK Questions For Class 7,
852,Name the instrument used to measure atmospheric pressure,Barometer,GK Questions For Class 7,
853,Who was the first woman to go to space?,Valentina Tereshkova,GK Questions For Class 7,
854,Which bird is known for its intelligence?,Owl,GK Questions For Class 7,
855,Which is the gas absorbed by plants?,Carbon Dioxide,GK Questions For Class 7,
856,What is the capital of Denmark?,Copenhagen,GK Questions For Class 7,
857,Olympic Games of which year were cancelled due to World War I?,1916,GK Questions For Class 7,
858,How many players are there in a Kho Kho team?,9,GK Questions For Class 7,
859,Who was the first President of the United States?,George Washington,GK Questions For Class 7,
860,Name the continent with the highest population density?,Asia,GK Questions For Class 7,
861,Beriberi disease is caused by the deficiency of _________,Vitamin B,GK Questions For Class 7,
862,Scientific study of birds is called _______,Ornithology,GK Questions For Class 7,
863,Name the organ responsible for blood purification in human body,Kidney,GK Questions For Class 7,
864,What is the name of the process where excess water in plants gets released?,Transpiration,GK Questions For Class 7,
865,What is the main source of energy produced through photosynthesis in plants?,Glucose,GK Questions For Class 7,
866,The measure of moisture in the air is known as _________,Humidity,GK Questions For Class 7,
867,A decagon has _______ sides.,10,GK Questions For Class 7,
868,3 raised to power 0 is ________.,1,GK Questions For Class 7,
869,Which is the smallest three-digit number?,1000,GK Questions For Class 7,
870,Which is the largest three-digit number?,999,GK Questions For Class 7,
871,What is the cube root of 27?,3,GK Questions For Class 7,
872,What is another name for Northern Lights?,Aurora Boralis,GK Questions For Class 7,
873,There are a total of _____ time zones in the world.,24,GK Questions For Class 7,
874,What is the full form of GPS?,Global Positioning System,GK Questions For Class 7,
875,Which famous explorer discovered Cuba?,Christopher Columbus,GK Questions For Class 7,
876,Which is the hardest substance on the human body?,Tooth enamel,GK Questions For Class 7,
877,Where is the headquarters of UNESCO located?,"Paris, France",GK Questions For Class 7,
878,Which planet is known as Earth’s Twin?,Venus,GK Questions For Class 7,
879,Which is the loudest animal on Earth?,Sperm whale,GK Questions For Class 7,
880,Which blood group is known as “universal donor”?,O+,GK Questions For Class 7,
881,_____ is a flying mammal.,Bat,GK Questions For Class 7,
882,Which animal has fingerprints similar to that of humans?,Koala,GK Questions For Class 7,
883,What is the colour of polar bear’s skin?,Black,GK Questions For Class 7,
884,Which protein is a fingernail made of?,Keratin,GK Questions For Class 7,
885,Which bird can fly backward?,Humming bird,GK Questions For Class 7,
886,Who was the first woman to win a Nobel Prize?,Marie Curie (in the year 1903),GK Questions For Class 7,
887,_____ is the warmest sea on Earth.,Read Sea,GK Questions For Class 7,
888,Which is the fastest snake in the world?,Black Mamba,GK Questions For Class 7,
889,Which is the largest organ in the human body?,Skin,GK Questions For Class 7,
890,Which is the largest lake in Japan?,Biwa,GK Questions For Class 7,
891,Name the vitamin that helps to heal wounds?,Vitamin C,GK Questions For Class 7,
892,Equilateral polygons have all ______ equal.,Sides,GK Questions For Class 7,
893,Which country does famous footballer Lionel Messi belong to?,Argentina,GK Questions For Class 7,
894,The atomic number of Iron (Fe) is _____.,26,GK Questions For Class 7,
895,What is the capital of United Arab Emirates (UAE)?,Abu Dhabi,GK Questions For Class 7,
896,Golfer Vijay Singh belongs to which country?,Fiji,GK Questions For Class 7,
897,Which blood cells do not have a nucleus?,Blood platelets,GK Questions For Class 7,
898,Who authored the renowned novel “The Godfather”?,Mario Puzo,GK Questions For Class 7,
899,RAM is located in which part of the computer?,Mother board,GK Questions For Class 7,
900,Who was nicknamed the “Little Corporal”?,Napolean Bonaparte,GK Questions For Class 7,
901,The ceiling of Sistine Chapel has frescos painted by which famous painter?,Michelangelo,GK Questions For Class 7,
902,What was the court language used by Mughals?,Persian,GK Questions For Class 7,
903,Orange Prize is related to the field of ____________.,Literature,GK Questions For Class 7,
904,When did World War II start?,1939,GK Questions For Class 7,
905,Vienna is the capital of which country?,Austria,GK Questions For Class 7,
906,Who discovered Protons?,Rutherford,GK Questions For Class 7,
907,What does ‘Xylem’ in plants do?,Transport water,GK Questions For Class 7,
908,Which is the ‘class’ of Octopus?,Cephalopod,GK Questions For Class 7,
909,What does Big Bang Theory explain?,Origin of Universe,GK Questions For Class 7,
910,Who is the author of ‘Origin of Species’?,Charles Darwin,GK Questions For Class 7,
911,What kind of mosquito carries malaria?,Anopheles Mosquitoes,GK Questions For Class 7,
912,Name the smallest Ocean.,Arctic Ocean,GK Questions For Class 7,
913,Which day is celebrated as World Consumer Rights Day?,March 15,GK Questions For Class 7,
914,What is Light year?,It is the unit of distance,GK Questions For Class 7,
915,Which is the sacred book of Buddhists?,Tripitakas,GK Questions For Class 7,
916,Cataract is the disease of _.,Eye,GK Questions For Class 7,
917,What is the SI unit of Force?,Newton,GK Questions For Class 7,
918,Who is the author of ‘Wings of Fire’?,A.P.J. Abdul Kalam,GK Questions For Class 7,
919,Who is the father of Economics?,Adam Smith,GK Questions For Class 7,
920,What is the common name of Sodium Carbonate?,Washing Soda,GK Questions For Class 7,
921,What is Phycology?,Study of Algae,GK Questions For Class 7,
922,Which is the first Asian country to orbit Mars?,India,GK Questions For Class 7,
923,Which country is the largest producer of Coffee?,Brazil,GK Questions For Class 7,
924,The terms’ Bull and Bear’ is associated with __________.,Stock Market,GK Questions For Class 7,images/10.jpeg
925,Where are the HeadQuarters of UNESCO?,"Paris, France",GK Questions For Class 7,
926,Which are the colors of the rings of the Olympic flag?,"Black, Red, Blue, Green, and Yellow",GK Questions For Class 7,
927,Who invented ‘Lift’?,Elisha Graves Otis,GK Questions For Class 7,
928,Which river crosses the equator twice?,Congo River,GK Questions For Class 7,
929,Which is the device used to locate submerged objects under sea?,SONAR,GK Questions For Class 7,
930,Name the nodal agency of the 'Fly Ash Management and Utilisation Mission'?,"Ministry of Environment, Forest & Climate Change",GK Questions For Class 10,
931,When was the Landholders' society established in India?,Landholders' society was established in 1838.,GK Questions For Class 10,
932,Who was the first Indian Woman Ambassador at United Nations?,Vijaya Lakshmi Pandit,GK Questions For Class 10,
933,"In which years was India's first national park, the Hailey National Park, established?","In 1936, India's first national park, the Hailey National Park, was established.",GK Questions For Class 10,
934,"There were nine computers in the server room. Five more computers were installed each day, from monday to thursday except tuesday and wednesday. How many computers are now in the server room ?",19,GK Questions For Class 10,
935,What is the color of the sky during sunrise and sunset?,red or orange,GK Questions For Class 10,
936,Why is the sky blue?,Because blue and violet scatters away the most,GK Questions For Class 10,
